family,method,dataset,task,top1_feature,frac_top1,n_folds
composition_point_pattern,lasso,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,1.0,15
composition_point_pattern,lasso,hnc_wu2022,motif_immune_exclusion,composition::CD8 T cell,1.0,15
composition_point_pattern,lasso,tnbc_wang2023,motif_cd8_high,composition::CD8^+PD1^+T_{Ex},0.5333333333333333,15
composition_point_pattern,shap,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.7333333333333333,15
composition_point_pattern,shap,bc_jackson2020,motif_cd8_tumor_contact,point-pattern::T cell_L_r10,0.3333333333333333,15
composition_point_pattern,shap,bc_jackson2020,motif_macrophage_tumor_niche,point-pattern::Tumor (CK+ HR lo)_L_r50,0.26666666666666666,15
composition_point_pattern,shap,bc_jackson2020,motif_t_tumor_mixing,point-pattern::T cell_L_r10,0.4666666666666667,15
composition_point_pattern,shap,bc_jackson2020,motif_tumor_high,composition::Stromal cells,1.0,15
composition_point_pattern,shap,bc_metabric_ali2020,motif_interface_immune,composition::Myoepithelial,0.26666666666666666,15
composition_point_pattern,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,point-pattern::HR+ CK7-_L_r50,0.26666666666666666,15
composition_point_pattern,shap,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,0.8666666666666667,15
composition_point_pattern,shap,hnc_wu2022,motif_immune_exclusion,composition::CD8 T cell,1.0,15
composition_point_pattern,shap,tnbc_wang2023,motif_cd8_high,composition::CD8^+T,0.5333333333333333,15
density_point_pattern,lasso,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.8,15
density_point_pattern,lasso,bc_jackson2020,motif_cd8_tumor_contact,density::tumor_density::T cell,0.9333333333333333,15
density_point_pattern,lasso,bc_jackson2020,motif_macrophage_tumor_niche,density::tumor_density::Macrophage,0.8666666666666667,15
density_point_pattern,lasso,bc_jackson2020,motif_t_tumor_mixing,density::tumor_density::T cell,1.0,15
density_point_pattern,lasso,bc_jackson2020,motif_tumor_high,density::tumor_area_ratio,1.0,15
density_point_pattern,lasso,bc_metabric_ali2020,motif_interface_immune,density::tumor_area_ratio,0.4,15
density_point_pattern,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,density::tumor_density::Myofibroblasts,0.3333333333333333,15
density_point_pattern,lasso,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,1.0,15
density_point_pattern,lasso,hnc_wu2022,motif_immune_exclusion,density::tumor_area_ratio,1.0,15
density_point_pattern,lasso,tnbc_wang2023,motif_cd8_high,density::tissue_density::CD8^+PD1^+T_{Ex},0.8,15
density_point_pattern,shap,bc_jackson2020,motif_apc_t_contact,point-pattern::T cell_L_r10,0.4666666666666667,15
density_point_pattern,shap,bc_jackson2020,motif_cd8_tumor_contact,density::tumor_density::T cell,0.4666666666666667,15
density_point_pattern,shap,bc_jackson2020,motif_macrophage_tumor_niche,density::tumor_density::Macrophage,0.4666666666666667,15
density_point_pattern,shap,bc_jackson2020,motif_t_tumor_mixing,density::tumor_density::T cell,0.6,15
density_point_pattern,shap,bc_jackson2020,motif_tumor_high,density::tumor_area_ratio,1.0,15
density_point_pattern,shap,bc_metabric_ali2020,motif_interface_immune,density::tumor_area_ratio,0.6666666666666666,15
density_point_pattern,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,density::tumor_density::Myofibroblasts,0.3333333333333333,15
density_point_pattern,shap,hnc_wu2022,motif_cd8_clustering,point-pattern::CD8 T cell_L_r200,0.8666666666666667,15
density_point_pattern,shap,hnc_wu2022,motif_immune_exclusion,density::tumor_area_ratio,0.6666666666666666,15
density_point_pattern,shap,tnbc_wang2023,motif_cd8_high,density::tissue_density::CD8^+PD1^+T_{Ex},0.4666666666666667,15
mixing_point_pattern,lasso,bc_jackson2020,motif_apc_t_contact,mixing::neighbor_fraction__Macrophage__to__T cell,1.0,15
mixing_point_pattern,lasso,bc_jackson2020,motif_cd8_tumor_contact,mixing::local_mixing_std,0.6666666666666666,15
mixing_point_pattern,lasso,bc_jackson2020,motif_macrophage_tumor_niche,mixing::neighbor_fraction__Macrophage__to__Stromal cells,1.0,15
mixing_point_pattern,lasso,bc_jackson2020,motif_t_tumor_mixing,mixing::local_mixing_std,0.5333333333333333,15
mixing_point_pattern,lasso,bc_jackson2020,motif_tumor_high,mixing::neighbor_fraction__Stromal cells__to__Stromal cells,1.0,15
mixing_point_pattern,lasso,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__HER2+__to__HRlow CKlow,0.4,15
mixing_point_pattern,lasso,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,0.9333333333333333,15
mixing_point_pattern,lasso,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
mixing_point_pattern,lasso,hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,1.0,15
mixing_point_pattern,lasso,tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__Treg__to__CD8^+PD1^+T_{Ex},0.2,15
mixing_point_pattern,shap,bc_jackson2020,motif_apc_t_contact,mixing::neighbor_fraction__Macrophage__to__T cell,0.8,15
mixing_point_pattern,shap,bc_jackson2020,motif_cd8_tumor_contact,mixing::local_mixing_std,0.4666666666666667,15
mixing_point_pattern,shap,bc_jackson2020,motif_macrophage_tumor_niche,mixing::neighbor_fraction__Macrophage__to__Stromal cells,0.8,15
mixing_point_pattern,shap,bc_jackson2020,motif_t_tumor_mixing,mixing::local_mixing_std,0.4,15
mixing_point_pattern,shap,bc_jackson2020,motif_tumor_high,mixing::neighbor_fraction__Stromal cells__to__Stromal cells,0.9333333333333333,15
mixing_point_pattern,shap,bc_metabric_ali2020,motif_interface_immune,mixing::neighbor_fraction__B cells__to__Hypoxia,0.2,15
mixing_point_pattern,shap,bc_metabric_ali2020,motif_tumor_stroma_mixing,mixing::shannon_entropy_normalized,0.8,15
mixing_point_pattern,shap,hnc_wu2022,motif_cd8_clustering,mixing::neighbor_fraction__CD8 T cell__to__CD8 T cell,1.0,15
mixing_point_pattern,shap,hnc_wu2022,motif_immune_exclusion,mixing::neighbor_fraction__CD8 T cell__to__Tumor,0.6,15
mixing_point_pattern,shap,tnbc_wang2023,motif_cd8_high,mixing::neighbor_fraction__M2 Mac__to__CD8^+T,0.26666666666666666,15
