task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_cd8_high,control,one_removed,15,0.9651458357790108,1.0,0.7671677534519948,0.7263479426036233,2.6384911709648784,1.0,0.2560856716676311,0.7174811016651864,0.4613954299975553,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,2.5920345414700943e-14,hnc_wu2022,False,composition
motif_immune_exclusion,spatial,one_removed,15,0.8824999635348029,1.0,0.3412239415449908,0.4438644371951882,2.474951092620934,1.0,0.2464480097164723,0.6926970541528867,0.4462490444364144,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,2.212700825683395e-12,hnc_wu2022,True,composition
motif_tumor_high,control,one_removed,15,0.9521945638059232,1.0,0.9306787671740376,0.8886769975113467,2.884611843055491,1.0,0.1774378818566377,0.7784734859796636,0.601035604123026,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,1.4401917629356732e-14,hnc_wu2022,False,composition
motif_cd8_clustering,spatial,random,15,0.8950886314152133,1.0,0.1904328376436445,0.1726496019505517,0.9701513572630128,0.0,0.4404213987543243,0.4421424992790365,0.0017211005247121,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.5666990016218411,hnc_wu2022,True,composition
motif_cd8_high,control,random,15,0.9651458357790108,1.0,0.3818446921891008,0.4053034708216648,0.9983376494458192,0.0,0.5080685781615112,0.5111041307470648,0.0030355525855536,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.719402654121901,hnc_wu2022,False,composition
motif_immune_exclusion,spatial,random,15,0.8824999635348029,1.0,0.1894597703002213,0.3668813007078871,0.9866286098333364,0.0,0.4713301910639741,0.4631743291046604,-0.0081558619593137,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.5887416735330491,hnc_wu2022,True,composition
motif_tumor_high,control,random,15,0.9521945638059232,1.0,0.3493698125428269,0.3494992447624365,1.005214211153432,0.0,0.4778470766455791,0.4820316037705819,0.0041845271250026,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.2053588353552541,hnc_wu2022,False,composition
motif_cd8_clustering,spatial,single,15,0.8950886314152133,1.0,0.6205428980094588,0.4783192701253657,4.965156274099676,1.0,0.0859289831414432,0.5725079362761475,0.4865789531347042,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.1538058556834344e-15,hnc_wu2022,True,composition
motif_cd8_high,control,single,15,0.9651458357790108,1.0,0.837470542801579,0.8255245390559761,2.693057818487389,1.0,0.1681636142717894,0.7421390743179607,0.5739754600461712,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,1.6868914007749425e-15,hnc_wu2022,False,composition
motif_immune_exclusion,spatial,single,15,0.8824999635348029,1.0,0.412981771520313,0.4707165748749466,2.786336097520008,1.0,0.1143250072652204,0.681112921604935,0.5667879143397146,1.0,1.0,1.0,1.0,pass_spatial,pass_spatial,pass_spatial,1.4545404428564692e-13,hnc_wu2022,True,composition
motif_tumor_high,control,single,15,0.9521945638059232,1.0,0.9688736058138112,0.9486112963906118,2.962858026338101,1.0,0.1604752126292823,0.7866010674096658,0.6261258547803833,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,5.634929526742338e-15,hnc_wu2022,False,composition
motif_cd8_high,control,attention,15,0.964788278879704,1.0,0.752974069168782,0.7272232855169638,1.770796078177116,0.8,0.3692949081132307,0.5255357527853657,0.1562408446721348,0.9333333333333332,1.0,0.8,0.7666666666666667,pass_control,pass_control,pass_control,5.687500212359632e-11,tnbc_wang2023,True,composition
motif_tumor_high,control,attention,15,0.9774631989251944,1.0,0.6056217215648076,0.562663668710773,1.610930384476346,0.8,0.4481049583279827,0.5146729849294832,0.0665680266015004,0.8,1.0,0.8,0.7666666666666667,pass_control,pass_control,pass_control,3.975919367284744e-07,tnbc_wang2023,False,composition
motif_cd8_high,control,ig,15,0.964788278879704,1.0,0.8744198706555739,0.8325658114080965,2.223478281779402,1.0,0.3174299710527827,0.6344135161594812,0.3169835451066983,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,1.1263090101326745e-15,tnbc_wang2023,True,composition
motif_tumor_high,control,ig,15,0.9774631989251944,1.0,0.9446900116528434,0.9350627197518028,2.7870269913056926,1.0,0.2856803003708038,0.7170085416636,0.4313282412927963,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,3.0261346690353054e-14,tnbc_wang2023,False,composition
motif_cd8_high,control,one_removed,15,0.964788278879704,1.0,0.7794846344816181,0.7334060875684909,2.108763699709613,1.0,0.3828184471612151,0.6109945592165295,0.2281761120553143,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,5.405880357361061e-12,tnbc_wang2023,True,composition
motif_tumor_high,control,one_removed,15,0.9774631989251944,1.0,0.8272691385222911,0.8003978436048321,2.5320533184108185,1.0,0.3311179412539413,0.6835656580874812,0.3524477168335398,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,4.564789556980265e-13,tnbc_wang2023,False,composition
motif_cd8_high,control,random,15,0.964788278879704,1.0,0.558495290211722,0.5729309799174536,1.0119126068153197,0.0,0.498080686919286,0.4990020310108471,0.0009213440915612,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.3069422063397368,tnbc_wang2023,True,composition
motif_tumor_high,control,random,15,0.9774631989251944,1.0,0.3971719058146561,0.4016218271063163,1.004455118709429,0.0,0.5085647124657006,0.5085812079531298,1.6495487429253376e-05,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.2359801583999395,tnbc_wang2023,False,composition
motif_cd8_high,control,single,15,0.964788278879704,1.0,0.8889003818205581,0.886806534549937,2.209121154929365,1.0,0.2498407735085418,0.6367052439290192,0.3868644704204774,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,3.1359131835930816e-19,tnbc_wang2023,True,composition
motif_tumor_high,control,single,15,0.9774631989251944,1.0,0.9650700980156042,0.9607521669076128,2.832345279052129,1.0,0.269151008338981,0.7210672795962392,0.4519162712572581,1.0,1.0,1.0,1.0,pass_control,pass_control,pass_control,5.141389582026631e-15,tnbc_wang2023,False,composition
motif_cd8_high,control,attention,15,0.9596166201098354,1.0,0.8992071436641749,0.8939692092520394,1.7496189768034536,0.1333333333333333,0.354612110054741,0.499866849039328,0.145254738984587,0.7333333333333333,1.0,0.5666666666666667,0.4,fail_control,pass_control,fail_control,4.885965918892783e-10,bc_metabric_ali2020,False,composition
motif_interface_immune,spatial,attention,15,0.5730730164126139,0.3333333333333333,0.4084030121322375,0.3554993328653998,1.2034499302137205,0.0666666666666666,0.3445429194918471,0.5223620426608845,0.1778191231690373,0.3333333333333333,1.0,0.5666666666666667,0.4,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,1.6712650064931987e-05,bc_metabric_ali2020,True,composition
motif_tumor_high,control,attention,15,0.96991201470397,1.0,0.5682416278389189,0.5329964100785047,1.4739145209242135,1.0,0.4856143476545176,0.498704737717833,0.0130903900633153,0.6666666666666666,1.0,0.5666666666666667,0.4,pass_control,pass_control,pass_control,0.1016526787018926,bc_metabric_ali2020,False,composition
motif_tumor_stroma_mixing,spatial,attention,15,0.7660506554651324,1.0,0.7885161084777119,0.6368405663778616,1.4740993486828735,0.0666666666666666,0.7287297201751952,0.4856342089366684,-0.2430955112385268,0.0,1.0,0.5666666666666667,0.4,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.99999999999342,bc_metabric_ali2020,True,composition
