method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict,loc_verdict,faith_verdict,combo,explainer
mil_mixing_attention,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9400192306934264,0.8666666666666667,0.8,0.8666666666666667,1.4069664217131257,0.1653305802844866,pass_control,pass_control,pass_control,mixing,attention
mil_mixing_attention,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.6152279664031474,0.4666666666666667,0.0666666666666666,0.2,1.3760309637032564,0.1121134076325505,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,attention
mil_mixing_attention,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7058145941742333,1.0,0.0,0.0,1.2511981937263597,-0.2427830343597176,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,attention
mil_mixing_attention,hnc_wu2022,motif_cd8_clustering,spatial,False,False,fail_control_block,False,0.8449522215117599,1.0,1.0,0.3333333333333333,3.5955200747049334,0.1501480539329316,looks_biological_unfaithful,pass_spatial,unfaithful_or_fail,mixing,attention
mil_mixing_attention,hnc_wu2022,motif_immune_exclusion,spatial,False,False,fail_control_block,False,0.9189913140030992,1.0,0.9333333333333332,0.4666666666666667,1.9073851267429425,0.1309506253816388,looks_biological_unfaithful,pass_spatial,unfaithful_or_fail,mixing,attention
mil_mixing_attention,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.9720046976431156,1.0,1.0,1.0,1.7376343095175026,0.1995472851442712,pass_control,pass_control,pass_control,mixing,attention
mil_mixing_ig,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6535642703576606,0.7333333333333333,0.0,0.7333333333333333,1.0908314684787557,0.6524930029533678,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,ig
mil_mixing_ig,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.6545126294335097,0.9333333333333332,0.0,0.9333333333333332,1.2258299116115177,0.6022973522566829,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,ig
mil_mixing_ig,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.5882662661405493,0.4,0.4,0.4,1.87858921198629,0.6953439402895077,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,ig
mil_mixing_ig,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.6629355405761213,0.8,0.0,0.8,1.2166042670709578,0.6116687561119103,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,ig
