family,dataset,task,kind,method,n_hit_candidates,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,miss_as_top1,n_folds
composition_density,hnc_wu2022,motif_cd8_clustering,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15
composition_density,hnc_wu2022,motif_cd8_clustering,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,15
composition_density,hnc_wu2022,motif_immune_exclusion,spatial,lasso,2,0.0,0.0,0.12000000000000001,0.19841269841269843,0.0,0.0,0.3,0.0,15
composition_density,hnc_wu2022,motif_immune_exclusion,spatial,shap,2,0.0,0.17777777777777776,0.22666666666666668,0.2872222222222222,0.0,0.26666666666666666,0.5666666666666667,0.0,15
composition_density,tnbc_wang2023,motif_cd8_high,control,lasso,8,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
composition_density,tnbc_wang2023,motif_cd8_high,control,shap,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_apc_t_contact,spatial,shap,407,1.0,0.9777777777777777,0.9733333333333333,1.0,1.0,0.9777777777777777,0.9733333333333333,0.0,15
composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_jackson2020,motif_tumor_high,control,lasso,14,0.0,0.02222222222222222,0.13333333333333333,0.20809523809523808,0.0,0.02222222222222222,0.13333333333333333,0.0,15
composition_mixing,bc_jackson2020,motif_tumor_high,control,shap,14,0.0,0.0,0.09333333333333334,0.18756613756613755,0.0,0.0,0.09333333333333334,0.0,15
composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
composition_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,491,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,lasso,9,1.0,0.4,0.3066666666666667,1.0,1.0,0.4,0.3066666666666667,0.0,15
composition_mixing,hnc_wu2022,motif_cd8_clustering,spatial,shap,9,1.0,0.3555555555555555,0.25333333333333335,1.0,1.0,0.3555555555555555,0.25333333333333335,0.0,15
composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_mixing,hnc_wu2022,motif_immune_exclusion,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_mixing,tnbc_wang2023,motif_cd8_high,control,lasso,4,0.0,0.0,0.0,0.06245920058613557,0.0,0.0,0.0,0.0,15
composition_mixing,tnbc_wang2023,motif_cd8_high,control,shap,4,0.13333333333333333,0.1111111111111111,0.12000000000000001,0.2811399711399711,0.13333333333333333,0.1111111111111111,0.15,0.0,15
density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,lasso,407,1.0,0.9777777777777777,0.9466666666666667,1.0,1.0,0.9777777777777777,0.9466666666666667,0.0,15
density_mixing,bc_jackson2020,motif_apc_t_contact,spatial,shap,407,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.0,15
density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
density_mixing,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,408,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,407,1.0,0.9555555555555556,0.9600000000000001,1.0,1.0,0.9555555555555556,0.9600000000000001,0.0,15
density_mixing,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,407,1.0,0.9555555555555556,0.9600000000000001,1.0,1.0,0.9555555555555556,0.9600000000000001,0.0,15
density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15
density_mixing,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,407,1.0,1.0,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.0,15
density_mixing,bc_jackson2020,motif_tumor_high,control,lasso,15,1.0,0.3333333333333333,0.21333333333333335,1.0,1.0,0.3333333333333333,0.21333333333333335,0.0,15
density_mixing,bc_jackson2020,motif_tumor_high,control,shap,15,0.9333333333333333,0.3333333333333333,0.2,0.9666666666666667,0.9333333333333333,0.3333333333333333,0.2,0.0,15
density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_mixing,bc_metabric_ali2020,motif_interface_immune,spatial,shap,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,491,1.0,1.0,0.9600000000000001,1.0,1.0,1.0,0.9600000000000001,0.0,15
density_mixing,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,491,1.0,0.9777777777777777,0.9466666666666667,1.0,1.0,0.9777777777777777,0.9466666666666667,0.0,15
density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,lasso,9,1.0,0.5111111111111111,0.4,1.0,1.0,0.5111111111111111,0.4,0.0,15
density_mixing,hnc_wu2022,motif_cd8_clustering,spatial,shap,9,1.0,0.4444444444444444,0.3866666666666667,1.0,1.0,0.4444444444444444,0.3866666666666667,0.0,15
density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,lasso,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_mixing,hnc_wu2022,motif_immune_exclusion,spatial,shap,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_mixing,tnbc_wang2023,motif_cd8_high,control,lasso,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
density_mixing,tnbc_wang2023,motif_cd8_high,control,shap,4,0.0,0.0,0.0,0.017777777777777778,0.0,0.0,0.0,0.0,15
composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,lasso,20,0.8666666666666667,0.5111111111111111,0.4666666666666667,0.9222222222222223,0.8666666666666667,0.5111111111111111,0.4666666666666667,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,shap,20,0.7333333333333333,0.5333333333333333,0.44,0.8355555555555555,0.7333333333333333,0.5333333333333333,0.44,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,10,0.5333333333333333,0.31111111111111106,0.25333333333333335,0.6805555555555556,0.5333333333333333,0.31111111111111106,0.25333333333333335,0.13333333333333333,15
composition_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,10,0.4,0.3333333333333333,0.26666666666666666,0.6077777777777779,0.4,0.3333333333333333,0.26666666666666666,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,150,0.9333333333333333,0.8,0.8,0.9666666666666667,0.9333333333333333,0.8,0.8,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,150,0.6666666666666666,0.8,0.8133333333333332,0.8333333333333334,0.6666666666666666,0.8,0.8133333333333332,0.0,15
composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,150,0.6666666666666666,0.6,0.48000000000000004,0.7833333333333333,0.6666666666666666,0.6,0.48000000000000004,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,150,0.8,0.6888888888888889,0.6799999999999999,0.8688888888888889,0.8,0.6888888888888889,0.6799999999999999,0.06666666666666667,15
composition_point_pattern,bc_jackson2020,motif_tumor_high,control,lasso,14,0.0,0.26666666666666666,0.4,0.3722222222222222,0.0,0.26666666666666666,0.4,0.0,15
composition_point_pattern,bc_jackson2020,motif_tumor_high,control,shap,14,0.0,0.31111111111111106,0.4,0.38333333333333336,0.0,0.31111111111111106,0.4,0.0,15
composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,lasso,20,0.0,0.0,0.0,0.05939094531199794,0.0,0.0,0.0,0.0,15
composition_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,shap,20,0.0,0.0,0.013333333333333334,0.03983426704014939,0.0,0.0,0.013333333333333334,0.0,15
composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,lasso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
