family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
density_point_pattern,tnbc_wang2023,motif_cd8_high,control,0.9576055479714838,0.958996851021688,1.0,1.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
mixing_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,0.6478609132813157,0.6440463601774284,1.0,1.0,0.9333333333333332,0.6839872439309251,0.6806886142837433,1.0,1.0
mixing_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.8693932774201723,0.8640742090154157,1.0,1.0,0.8666666666666667,0.8810976088249568,0.8757017183602076,1.0,1.0
mixing_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.7787965189244207,0.7813246787353999,1.0,1.0,0.9333333333333332,0.7899695820827977,0.7913776079784736,1.0,1.0
mixing_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,0.8684703753775338,0.8638557392117259,1.0,1.0,1.0,0.8832423194389634,0.8804172395580807,1.0,1.0
mixing_point_pattern,bc_jackson2020,motif_tumor_high,control,0.957621344952155,0.95619122145964,0.0,0.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
mixing_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,0.5860813099710197,0.5855827108464705,0.0,0.0,0.3333333333333333,0.5847062845164773,0.5865776068687947,0.0,0.0
mixing_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.8635831469431203,0.8601339770314911,1.0,1.0,1.0,0.873742112677661,0.8721206303099582,1.0,1.0
mixing_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,0.9366122990251636,0.9394224370848548,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
mixing_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,0.9621727641994336,0.9643208296337656,0.0,0.0,0.6666666666666666,0.9785176911026952,0.9795306247910294,0.0,0.0
mixing_point_pattern,tnbc_wang2023,motif_cd8_high,control,0.974232343836934,0.9757692536344156,0.0,0.0,0.8666666666666667,0.9752298485299818,0.9772897004106226,0.0,0.2
