dataset,task,seed,fold,method,kind,hit_in_top5,n_hit_in_top,best_hit_rank,top1,miss_as_top1,recovered,passed,auc_lasso,auc_ridge,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed
hnc_wu2022,motif_immune_exclusion,1,1,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8695652173913043,0.8067632850241546,0.4009661835748792,0.0611916264090177,True
hnc_wu2022,motif_immune_exclusion,1,2,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8431372549019607,0.8202614379084967,0.3856209150326797,-0.0228758169934641,True
hnc_wu2022,motif_immune_exclusion,1,2,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8431372549019607,0.8202614379084967,0.3856209150326797,-0.0228758169934641,True
hnc_wu2022,motif_immune_exclusion,1,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7440476190476191,0.6398809523809523,0.1964285714285714,-0.0238095238095238,True
hnc_wu2022,motif_immune_exclusion,1,3,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7440476190476191,0.6398809523809523,0.1964285714285714,-0.0238095238095238,True
hnc_wu2022,motif_immune_exclusion,1,4,lasso,spatial,,0,,utag_mean__FoxP3,False,False,False,0.8061538461538461,0.8015384615384615,0.2384615384615385,0.0630769230769231,True
hnc_wu2022,motif_immune_exclusion,1,4,shap,spatial,,0,,utag_mean__Vimentin,False,False,False,0.8061538461538461,0.8015384615384615,0.2384615384615385,0.0630769230769231,True
hnc_wu2022,motif_immune_exclusion,2,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8070588235294117,0.7905882352941176,0.1341176470588234,0.0941176470588234,True
hnc_wu2022,motif_immune_exclusion,2,0,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8070588235294117,0.7905882352941176,0.1341176470588234,0.0941176470588234,True
hnc_wu2022,motif_immune_exclusion,2,1,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8,0.7361111111111112,0.3166666666666667,0.0083333333333334,True
hnc_wu2022,motif_immune_exclusion,2,1,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8,0.7361111111111112,0.3166666666666667,0.0083333333333334,True
hnc_wu2022,motif_immune_exclusion,2,2,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8863636363636364,0.8674242424242424,0.2821969696969697,-0.0075757575757575,True
hnc_wu2022,motif_immune_exclusion,2,2,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8863636363636364,0.8674242424242424,0.2821969696969697,-0.0075757575757575,True
hnc_wu2022,motif_immune_exclusion,2,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8472222222222223,0.8293650793650793,0.4226190476190475,0.0178571428571429,True
hnc_wu2022,motif_immune_exclusion,2,3,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8472222222222223,0.8293650793650793,0.4226190476190475,0.0178571428571429,True
hnc_wu2022,motif_immune_exclusion,2,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7996031746031745,0.7777777777777778,0.3472222222222222,0.0615079365079365,True
hnc_wu2022,motif_immune_exclusion,2,4,shap,spatial,,0,,utag_std__CD163,False,False,False,0.7996031746031745,0.7777777777777778,0.3472222222222222,0.0615079365079365,True
hnc_wu2022,motif_interface_immune,0,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7811764705882352,0.7152941176470589,0.2729411764705882,-0.0258823529411764,True
hnc_wu2022,motif_interface_immune,0,0,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7811764705882352,0.7152941176470589,0.2729411764705882,-0.0258823529411764,True
hnc_wu2022,motif_interface_immune,0,1,lasso,spatial,,0,,utag_mean__CD45,False,False,False,0.7863636363636364,0.7136363636363636,0.1166666666666665,0.0803030303030303,True
hnc_wu2022,motif_interface_immune,0,1,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.7863636363636364,0.7136363636363636,0.1166666666666665,0.0803030303030303,True
hnc_wu2022,motif_interface_immune,0,2,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8018575851393188,0.7275541795665634,0.198142414860681,0.0030959752321981,True
hnc_wu2022,motif_interface_immune,0,2,shap,spatial,,0,,utag_mean__PD1,False,False,False,0.8018575851393188,0.7275541795665634,0.198142414860681,0.0030959752321981,True
hnc_wu2022,motif_interface_immune,0,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7681159420289855,0.6763285024154589,0.1908212560386474,-0.0217391304347825,True
hnc_wu2022,motif_interface_immune,0,3,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7681159420289855,0.6763285024154589,0.1908212560386474,-0.0217391304347825,True
hnc_wu2022,motif_interface_immune,0,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.9366666666666666,0.8616666666666667,0.2899999999999999,0.0416666666666666,True
hnc_wu2022,motif_interface_immune,0,4,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.9366666666666666,0.8616666666666667,0.2899999999999999,0.0416666666666666,True
hnc_wu2022,motif_interface_immune,1,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8095238095238095,0.7532467532467533,0.1904761904761905,0.0064935064935065,True
hnc_wu2022,motif_interface_immune,1,0,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.8095238095238095,0.7532467532467533,0.1904761904761905,0.0064935064935065,True
hnc_wu2022,motif_interface_immune,1,1,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.6774193548387096,0.6283870967741935,0.1045161290322579,0.0051612903225806,True
hnc_wu2022,motif_interface_immune,1,1,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.6774193548387096,0.6283870967741935,0.1045161290322579,0.0051612903225806,True
hnc_wu2022,motif_interface_immune,1,2,lasso,spatial,,0,,utag_mean__CD45,False,False,False,0.8571428571428572,0.8095238095238095,0.282051282051282,-0.0018315018315019,True
hnc_wu2022,motif_interface_immune,1,2,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.8571428571428572,0.8095238095238095,0.282051282051282,-0.0018315018315019,True
hnc_wu2022,motif_interface_immune,1,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.9090909090909092,0.8551136363636365,0.2244318181818183,0.0568181818181818,True
hnc_wu2022,motif_interface_immune,1,3,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.9090909090909092,0.8551136363636365,0.2244318181818183,0.0568181818181818,True
hnc_wu2022,motif_interface_immune,1,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8063492063492064,0.707936507936508,0.2825396825396826,-0.0412698412698411,True
hnc_wu2022,motif_interface_immune,1,4,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.8063492063492064,0.707936507936508,0.2825396825396826,-0.0412698412698411,True
hnc_wu2022,motif_interface_immune,2,0,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7884615384615384,0.7846153846153846,0.1307692307692307,0.0346153846153847,True
hnc_wu2022,motif_interface_immune,2,0,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7884615384615384,0.7846153846153846,0.1307692307692307,0.0346153846153847,True
hnc_wu2022,motif_interface_immune,2,1,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.75,0.6770833333333333,0.0895833333333333,0.0520833333333332,True
hnc_wu2022,motif_interface_immune,2,1,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.75,0.6770833333333333,0.0895833333333333,0.0520833333333332,True
hnc_wu2022,motif_interface_immune,2,2,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.7660455486542443,0.7308488612836439,0.0641821946169771,0.0351966873706004,True
